"","Actor1CountryCode","Actor2CountryCode","AvgTone","NumArticles","SQLDATE","Year","Actor1Geo_Lat","Actor1Geo_Long","ActionGeo_CountryCode","EventCode","EventRootCode","Actor1Geo_CountryCode","Actor2Geo_CountryCode","SOURCEURL"
"9596","SYR",NA,"-2.77777777777777","6","20150614","2015","35.95","39.0167","SY","190","19","SY","SY","http://www.thestar.com/news/world/2015/06/14/thousands-of-syrians-flee-into-turkey-amid-fighting-between-kurds-and-muslim-militants.html"
"9597","SYR","USA","-6.26959247648903","10","20160320","2016","35.95","39.0167","SY","190","19","SY","SY","http://www.huewire.com/miscellaneous/death-toll-climbs-from-airstrikes-on-is-held-syrian-city/126021/"
"9598",NA,"SYR","1.3203741059967","7","20140927","2014","35.95","39.0167","SY","193","19","SY","SY","http://article.wn.com/view/2014/09/27/USled_air_strikes_target_IS_fighters_attacking_Syrian_town/"
"9599","NLD","GBR","-2.87443267776097","1","20140524","2014","35.95","39.0167","SY","190","19","SY","SY","http://www.breitbart.com/london/2015/05/24/socialists-eton-now-counts-jihadis-among-its-alumni/"
"9600","SYR","SYR","8.51063829787234","2","20120921","2012","35.95","39.0167","SY","195","19","SY","SY","unspecified"
"9601","SYR","IRQ","-2.4493082317654","8","20150707","2015","35.95","39.0167","SY","190","19","SY","SY","https://www.zawya.com/story/Islamic_State_takes_ground_from_Syrian_Kurds_after_air_strikes-TR20150706nL8N0ZM1GVX5/"
"9602",NA,NA,"1.71428571428571","10","20141126","2014","35.95","39.0167","SY","190","19","SY","SY","http://www.middleeasteye.net/news/syria-raqqa-airstrikes-1508027443"
"9603",NA,"USA","2.46913580246914","2","20140924","2014","35.95","39.0167","SY","190","19","SY","SY","http://www.boston.com/news/world/middle-east/2014/09/24/islamic-state-syrian-kurds-battle-for-border-town/iD0e0gntPlRfdsBuBbspQN/video.html"
"9604",NA,NA,"-5.36141694590713","2","20151005","2015","35.95","39.0167","SY","190","19","SY","SY","http://www.leaderpost.com/news/world/98we+went+back+stone+isil+98caliphate+daily+life+laden+with/11413178/story.html"
"9605","SYR",NA,"0.836045152489021","176","20130306","2013","35.95","39.0167","SY","190","19","SY","SY","unspecified"
"9606","SYR",NA,"-6.80068343409279","26","20150708","2015","35.95","39.0167","SY","190","19","SY","SY","http://www.therecord.com//news-story/5712744-kurdish-forces-impose-one-week-curfew-in-northern-syria/"
